Symbol,Name,LastSale,MarketCap,IPOyear,Sector,industry,Summary Quote,,Exchange
PNC.WS,"PNC Financial Services Group, Inc. (The)",n/a,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/pnc.ws,,NYSE
PNC^P,"PNC Financial Services Group, Inc. (The)",25.7,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/pnc^p,,NYSE
PNC^Q,"PNC Financial Services Group, Inc. (The)",23.16,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/pnc^q,,NYSE
PNM,"PNM Resources, Inc. (Holding Co.)",44.23,$3.52B,n/a,Public Utilities,Electric Utilities: Central,https://www.nasdaq.com/symbol/pnm,,NYSE
PII,Polaris Industries Inc.,79.35,$4.9B,n/a,Capital Goods,Industrial Specialties,https://www.nasdaq.com/symbol/pii,,NYSE
POL,PolyOne Corporation,28.72,$2.29B,n/a,Basic Industries,Major Chemicals,https://www.nasdaq.com/symbol/pol,,NYSE
POR,Portland General Electric Company,48.96,$4.37B,n/a,Public Utilities,Electric Utilities: Central,https://www.nasdaq.com/symbol/por,,NYSE
PKX,POSCO,55.33,$17.71B,1994,Basic Industries,Steel/Iron Ore,https://www.nasdaq.com/symbol/pkx,,NYSE
POST,"Post Holdings, Inc.",91.69,$6.11B,2012,Consumer Non-Durables,Packaged Foods,https://www.nasdaq.com/symbol/post,,NYSE
PPDF,PPDAI Group Inc.,4.39,$1.32B,2017,Finance,Finance: Consumer Services,https://www.nasdaq.com/symbol/ppdf,,NYSE
PPG,"PPG Industries, Inc.",100.14,$24.02B,n/a,Basic Industries,Paints/Coatings,https://www.nasdaq.com/symbol/ppg,,NYSE
PPX,"PPL Capital Funding, Inc.",24.53,n/a,n/a,Public Utilities,Electric Utilities: Central,https://www.nasdaq.com/symbol/ppx,,NYSE
PPL,PPL Corporation,30.59,$22.03B,n/a,Public Utilities,Electric Utilities: Central,https://www.nasdaq.com/symbol/ppl,,NYSE
PYS,PPlus Trust,15.7314,n/a,n/a,Finance,Finance: Consumer Services,https://www.nasdaq.com/symbol/pys,,NYSE
